Продукт,Калорийность,Белки,Жиры,Углеводы
Cherry Fresh [Пятерочка],42 кКал,0 г,0 г,"10,5 г"
Choco Banana [Пятерочка],368 кКал,9 г,9 г,70 г
Easy Смузи [Пятерочка],52 кКал,"0,6 г",0 г,"12,5 г"
Energy To Go [Пятерочка],4 кКал,0 г,0 г,"0,5 г"
Jake Vitamincandy [Пятерочка],245 кКал,"0,5 г","0,7 г","88,5 г"
Kids Chocolate [Пятерочка],560 кКал,"4,6 г","36,5 г","53,4 г"
Koukou Roukou [Пятерочка],533 кКал,"2,8 г",31 г,60 г
Абрикос [Пятерочка],44 кКал,"0,9 г","0,1 г",9 г
Авокадо [Пятерочка],212 кКал,2 г,20 г,6 г
Апельсин [Пятерочка],36 кКал,"0,9 г","0,2 г","8,1 г"
Арахис [Пятерочка],610 кКал,30 г,50 г,10 г
Багет Барра [Пятерочка],288 кКал,"10,9 г","1,2 г",57 г
Багет Пшенично-Ржаной [Пятерочка],254 кКал,"10,1 г","3,5 г","44,3 г"
Багет Суворовский [Пятерочка],226 кКал,13 г,"3,5 г",36 г
Багет Традиционный [Пятерочка],267 кКал,"8,4 г","1,2 г","54,3 г"
Багет Французский [Пятерочка],272 кКал,"8,3 г","2,1 г","54,9 г"
Банан [Пятерочка],96 кКал,"1,5 г","0,5 г",21 г
Батончик с Чесноком [Пятерочка],375 кКал,"7,9 г","4,4 г",48 г
Батончик Сырный [Пятерочка],173 кКал,"5,3 г",4 г,32 г
Блины Рестория [Пятерочка],246 кКал,"5,4 г","14,4 г","23,7 г"
Булочка Даллас [Пятерочка],402 кКал,"8,5 г","16,9 г","54,2 г"
Булочка из Пшеничной Муки с Кунжутом [Пятерочка],274 кКал,"8,9 г","3,1 г","52,4 г"
Булочка Техас [Пятерочка],416 кКал,"8,4 г","16,2 г",59 г
Бульон из Баранины [Пятерочка],70 кКал,5 г,5 г,3 г
Буше Багет Летний [Пятерочка],277 кКал,"9,3 г","1,6 г","56,5 г"
Буше Гипфель с Начинкой Крем [Пятерочка],333 кКал,"4,7 г","17,5 г","39,1 г"
Буше Розан с Яблоком [Пятерочка],257 кКал,3 г,12 г,35 г
Буше Турновер с Сыром и Ветчиной [Пятерочка],370 кКал,"8,1 г","25,5 г",27 г
Буше Хлеб Питерский [Пятерочка],210 кКал,"7,4 г","1,2 г","42,6 г"
Вино [Пятерочка],80 кКал,0 г,0 г,"3,5 г"
Виноград Тайфи [Пятерочка],65 кКал,"0,6 г","0,2 г","16,8 г"
Гематоген с Витамином с [Пятерочка],250 кКал,7 г,3 г,54 г
Геркулес Хлопья Овсяные [Пятерочка],360 кКал,13 г,6 г,64 г
Гипфель с Клубникой [Пятерочка],361 кКал,"4,7 г",17 г,"47,2 г"
Гипфель с Начинкой Смородина [Пятерочка],347 кКал,5 г,17 г,44 г
Грейпфрут [Пятерочка],29 кКал,"0,7 г","0,2 г","6,5 г"
Гречка [Пятерочка],334 кКал,12 г,2 г,67 г
Груша Желтая [Пятерочка],44 кКал,"0,4 г","0,3 г","10,3 г"
Груша Китайская [Пятерочка],42 кКал,"0,5 г","0,2 г","7,1 г"
Груша Конференция [Пятерочка],48 кКал,"0,7 г","0,9 г","11,7 г"
Груша Красная [Пятерочка],58 кКал,"0,7 г","0,7 г",10 г
Груша Сезонная [Пятерочка],42 кКал,"0,4 г","0,3 г","10,9 г"
Дип из Тунца [Пятерочка],132 кКал,"11,7 г","8,5 г","1,5 г"
Донат с Клубничной Начинкой [Пятерочка],292 кКал,"3,4 г",17 г,33 г
Дыня Эфиопка [Пятерочка],34 кКал,"0,8 г","0,2 г",8 г
Запеканка из Творога [Пятерочка],199 кКал,18 г,"5,4 г","19,6 г"
Зефир Ванильный [Пятерочка],310 кКал,1 г,0 г,81 г
Какао [Пятерочка],370 кКал,5 г,2 г,85 г
Капуста Квашеная по-Деревенски [Пятерочка],30 кКал,"1,7 г","0,1 г",5 г
Кармашек с Грибной Начинкой [Пятерочка],330 кКал,"5,7 г","20,6 г","30,2 г"
Каша Быстрого Приготовления Овсяная с Клубникой [Пятерочка],290 кКал,"9,5 г","4,5 г",54 г
Каша Овсяная [Пятерочка],299 кКал,"9,5 г",5 г,54 г
Каша Овсяная с Абрикосом [Пятерочка],290 кКал,"9,5 г","4,5 г",54 г
Кекс Маффин с Ванилином [Пятерочка],426 кКал,"5,2 г","22,8 г",50 г
Кекс Маффин Шоколадный [Пятерочка],410 кКал,"5,5 г",22 г,"47,5 г"
Кета [Пятерочка],184 кКал,"24,3 г","9,6 г",0 г
Кефир [Пятерочка],37 кКал,3 г,1 г,4 г
Киви [Пятерочка],61 кКал,"1,1 г","0,5 г",15 г
Колбаска Кондитерская [Пятерочка],300 кКал,5 г,13 г,40 г
Конвертик с Вишневой Начинкой [Пятерочка],403 кКал,"5,2 г","19,2 г","52,4 г"
Конвертик с Черничной Начинкой [Пятерочка],403 кКал,5 г,19 г,52 г
Крабовые Палочки [Пятерочка],97 кКал,"5,6 г","0,4 г","17,7 г"
Креветки Мелкие [Пятерочка],84 кКал,18 г,"1,2 г","0,3 г"
Круассан с Шоколадной Начинкой [Пятерочка],409 кКал,"6,5 г",20 г,50 г
Крупа Гречневая Ядрица [Пятерочка],329 кКал,"12,6 г","2,6 г",68 г
Крылья Куриные Гриль [Пятерочка],207 кКал,"21,1 г","13,6 г",0 г
Кукурузные Палочки [Пятерочка],470 кКал,6 г,14 г,80 г
Куриные Пупки Отварные [Пятерочка],81 кКал,"14,6 г","2,5 г","0,4 г"
Курица [Пятерочка],190 кКал,16 г,14 г,0 г
Курица Гриль [Пятерочка],170 кКал,19 г,10 г,0 г
Лаваш Армянский От Бадалова [Пятерочка],280 кКал,9 г,1 г,56 г
Лепешка с Соусом Песто [Пятерочка],467 кКал,14 г,22 г,53 г
Лимон [Пятерочка],34 кКал,"0,9 г","0,1 г",3 г
Лук Красный [Пятерочка],42 кКал,"1,4 г",0 г,"9,1 г"
Лук Репчатый [Пятерочка],41 кКал,"1,4 г",0 г,"10,4 г"
Манго [Пятерочка],67 кКал,"0,5 г","0,3 г","11,5 г"
Манка [Пятерочка],328 кКал,"10,3 г",1 г,"67,4 г"
Мармелад [Пятерочка],320 кКал,0 г,0 г,81 г
Матнакаш [Пятерочка],225 кКал,"8,1 г",1 г,46 г
Мини Багет [Пятерочка],270 кКал,"8,4 г","1,2 г","54,9 г"
Мини Багет с Луком [Пятерочка],263 кКал,"8,5 г","1,2 г","53,3 г"
Мини Багет с Чесночным Маслом [Пятерочка],375 кКал,"7,7 г","15,4 г",50 г
Минтай [Пятерочка],72 кКал,"15,9 г","0,9 г",0 г
"Молоко 2,5% [Пятерочка]",53 кКал,3 г,"2,5 г","4,7 г"
"Молоко 3,2% [Пятерочка]",60 кКал,3 г,"3,2 г","4,7 г"
Молоко [Пятерочка],60 кКал,3 г,"3,2 г","4,7 г"
Мороженое [Пятерочка],180 кКал,4 г,8 г,22 г
Нектар Морковно-Яблочный [Пятерочка],20 кКал,"0,5 г",0 г,5 г
Нектар Морковный с Мякотью [Пятерочка],25 кКал,"0,5 г",0 г,"5,5 г"
Нектарин [Пятерочка],44 кКал,"1,1 г","0,3 г",11 г
Палочка Сырная [Пятерочка],441 кКал,10 г,26 г,40 г
Печенье Roleo [Пятерочка],393 кКал,5 г,20 г,72 г
Печенье Кольца [Пятерочка],457 кКал,"7,2 г","14,3 г","75,1 г"
Пирог с Брусникой [Пятерочка],409 кКал,5 г,23 г,46 г
Пирог с Капустой и Яйцом [Пятерочка],257 кКал,8 г,14 г,25 г
Пирожок Домашний с Картофелем [Пятерочка],118 кКал,3 г,"1,5 г",23 г
Пирожок Дрожжевой с Черникой [Пятерочка],301 кКал,"4,6 г","14,1 г","38,5 г"
Пирожок с Картошкой [Пятерочка],229 кКал,"5,2 г",7 г,36 г
Пирожок с Мясом/Картофелем [Пятерочка],315 кКал,"9,9 г","19,6 г","24,8 г"
Пирожок с Сосиской [Пятерочка],370 кКал,8 г,25 г,27 г
Пицца с Ветчиной [Пятерочка],259 кКал,10 г,11 г,30 г
Помело [Пятерочка],32 кКал,"0,6 г","0,2 г","6,7 г"
Помидоры [Пятерочка],20 кКал,"1,1 г","0,2 г","3,7 г"
Пончик [Пятерочка],430 кКал,"6,5 г",27 г,39 г
Пончики Берлинские [Пятерочка],420 кКал,"7,5 г",23 г,47 г
Пончики Берлинские с Варёной Сгущёнкой [Пятерочка],234 кКал,"12,1 г","11,6 г","20,3 г"
Пончики Берлинские с Шоколадным Муссом [Пятерочка],470 кКал,"6,5 г",26 г,51 г
"Пончики с Кремом ""Берлинские"" [Пятерочка]",470 кКал,7 г,21 г,65 г
Редис [Пятерочка],12 кКал,"0,7 г","0,2 г","1,9 г"
Ржаной Багет с Чесноком [Пятерочка],300 кКал,"6,5 г",14 г,"45,1 г"
Рис с Курицей и Овощами [Пятерочка],90 кКал,"6,6 г","3,5 г","8,5 г"
Рожок с Сосиской [Пятерочка],270 кКал,7 г,14 г,29 г
Розан со Смородиной [Пятерочка],289 кКал,"3,3 г","12,5 г","40,8 г"
Рулет Куриный [Пятерочка],228 кКал,"24,3 г",14 г,0 г
Салат из Спаржи [Пятерочка],200 кКал,15 г,15 г,1 г
Салат Столичный [Пятерочка],210 кКал,"5,7 г","5,3 г","10,4 г"
Самса с Говядиной [Пятерочка],318 кКал,9 г,18 г,29 г
Самса с Курицей [Пятерочка],360 кКал,"8,5 г",17 г,41 г
Сахар [Пятерочка],400 кКал,0 г,0 г,100 г
Семга Норвежская [Пятерочка],164 кКал,"16,5 г","10,9 г",0 г
Семечки [Пятерочка],660 кКал,"25,5 г","65,3 г","5,8 г"
Скумбрия Холодного Копчения [Пятерочка],150 кКал,"23,4 г","6,4 г",0 г
Сливы [Пятерочка],42 кКал,"0,8 г","0,3 г","9,6 г"
Слойка Дрожжевая с Вишней [Пятерочка],301 кКал,"4,6 г","14,1 г","38,5 г"
Слойка с Абрикосом [Пятерочка],301 кКал,"4,6 г","14,1 г","38,5 г"
Слойка с Адыгейским Сыром и Зеленью [Пятерочка],280 кКал,13 г,9 г,38 г
Слойка с Говядиной [Пятерочка],320 кКал,9 г,21 г,24 г
Слойка с Капустой [Пятерочка],337 кКал,"5,7 г",21 г,30 г
Слойка с Картофельной Начинкой [Пятерочка],293 кКал,"4,7 г","14,9 г","34,2 г"
Слойка с Малиной [Пятерочка],309 кКал,5 г,"18,5 г",30 г
Слойка с Сосиской [Пятерочка],346 кКал,8 г,20 г,"33,5 г"
Слойка с Сырной Начинкой [Пятерочка],390 кКал,10 г,23 г,35 г
Слойка с Яблоком [Пятерочка],301 кКал,"4,6 г","14,1 г","38,5 г"
Слойка со Смородиной [Пятерочка],347 кКал,5 г,17 г,44 г
Сметана [Пятерочка],160 кКал,"2,6 г",15 г,"3,6 г"
Сок [Пятерочка],45 кКал,0 г,0 г,11 г
Сочень с Творогом [Пятерочка],240 кКал,9 г,7 г,34 г
Сухофрукты и Орехи [Пятерочка],590 кКал,"13,5 г","46,1 г","29,4 г"
Сыр Гауда 45% [Пятерочка],338 кКал,26 г,26 г,0 г
Сыр Голландский Красная Цена [Пятерочка],332 кКал,"26,3 г","25,2 г",0 г
Сыр по Российски Классический [Пятерочка],327 кКал,21 г,27 г,0 г
Сыр Пошехонский [Пятерочка],350 кКал,26 г,"26,5 г",0 г
Сыр Российский Красная Цена [Пятерочка],342 кКал,"22,5 г",28 г,0 г
Сыр Российский Красная Цена [Пятерочка],342 кКал,"22,5 г",28 г,0 г
Сыр Сливочный Город Сыра [Пятерочка],343 кКал,9 г,"30,8 г","7,5 г"
"Сыр Творожный ""Свежий"" [Пятерочка]",122 кКал,11 г,7 г,"3,8 г"
Сыр Тильзитер Liebendorf [Пятерочка],320 кКал,23 г,25 г,0 г
Сыр Тильзитер [Пятерочка],337 кКал,25 г,24 г,0 г
Сыр Топленое Молоко [Пятерочка],353 кКал,"24,2 г","24,3 г",0 г
Сырники [Пятерочка],314 кКал,"5,2 г",23 г,"21,5 г"
Сырный Продукт [Пятерочка],360 кКал,23 г,28 г,0 г
Сырный Продукт Российский Классический [Пятерочка],323 кКал,"22,8 г","25,8 г",0 г
Тарталетки для Икры [Пятерочка],480 кКал,"7,5 г",25 г,49 г
"Творог 1,8% [Пятерочка]",93 кКал,18 г,"1,8 г","1,3 г"
Творог 5% [Пятерочка],121 кКал,16 г,5 г,3 г
Творог 9% [Пятерочка],160 кКал,16 г,9 г,3 г
Творожная Запеканка с Изюмом [Пятерочка],219 кКал,"14,2 г","2,7 г","34,6 г"
Томатная Паста [Пятерочка],82 кКал,"4,7 г","0,4 г","14,9 г"
Торнадо Энергетик [Пятерочка],55 кКал,0 г,0 г,"13,5 г"
Треска [Пятерочка],73 кКал,16 г,1 г,0 г
Турновер с Ветчиной и Сыром [Пятерочка],370 кКал,8 г,26 г,27 г
Турновер с Картофелем и Грибами [Пятерочка],327 кКал,5 г,20 г,32 г
Тыква Баттернат [Пятерочка],45 кКал,1 г,"0,1 г","9,7 г"
Уголок с Творожной Начинкой [Пятерочка],319 кКал,"8,5 г","12,8 г","42,3 г"
Уголок с Яблочной Начинкой [Пятерочка],311 кКал,"4,8 г","10,5 г","49,1 г"
Улитка Греческая с Курицей и Картофелем [Пятерочка],226 кКал,"8,7 г","6,7 г","32,6 г"
Улитка Греческая с Мясом [Пятерочка],345 кКал,8 г,"18,5 г","35,8 г"
Улитка Греческая с Творогом [Пятерочка],338 кКал,"8,1 г","16,5 г","38,4 г"
Улитка Греческая со Шпинатом и Сыром [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Улитка Косичка Картофель Бекон Шпинат [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Улитка Косичка Курица/Рис/Овощи [Пятерочка],231 кКал,8 г,"6,5 г",35 г
Улитка Косичка Сыр Картофель Бекон [Пятерочка],230 кКал,9 г,"7,5 г","31,5 г"
Улитка с Кремом и Корицей [Пятерочка],280 кКал,"5,5 г",12 г,40 г
Улитка с Повидлом [Пятерочка],240 кКал,9 г,7 г,35 г
Улитка с Сыром и Шпинатом [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Фаготтини с Клубникой [Пятерочка],376 кКал,6 г,"13,2 г","58,6 г"
Фаготтини с Сыром и Ветчиной [Пятерочка],382 кКал,"10,8 г","19,4 г","40,4 г"
Фарш Говяжий (Рестория) [Пятерочка],201 кКал,12 г,17 г,0 г
Хачапури с Курицей и Грибами [Пятерочка],470 кКал,15 г,28 г,40 г
Хачапури с Сыром [Пятерочка],275 кКал,10 г,1 г,60 г
Хачапури с Сыром и Ветчиной [Пятерочка],572 кКал,18 г,37 г,40 г
Хлеб Sibirien Korn Brot [Пятерочка],228 кКал,"6,2 г","2,3 г","48,9 г"
Хлеб Бабушкин [Пятерочка],234 кКал,"7,3 г","0,8 г","49,3 г"
Хлеб Гречишный [Пятерочка],244 кКал,7 г,3 г,46 г
Хлеб Домашний на Молоке [Пятерочка],290 кКал,"9,5 г",2 г,59 г
Хлеб Древнерусский [Пятерочка],201 кКал,10 г,1 г,38 г
Хлеб Зерновой [Пятерочка],274 кКал,"9,2 г","6,6 г","44,4 г"
Хлеб Зерновой Мультизлаковый со Льном [Пятерочка],228 кКал,"6,2 г","2,3 г","48,9 г"
Хлеб Маисовый [Пятерочка],240 кКал,"7,5 г",2 г,46 г
Хлеб Отличный с Чесноком [Пятерочка],229 кКал,"8,3 г","3,3 г","58,8 г"
Хлеб Парижский [Пятерочка],300 кКал,10 г,4 г,55 г
Хлеб Питерский [Пятерочка],210 кКал,"7,4 г","1,2 г","42,6 г"
Хлеб Пури Грузинский [Пятерочка],220 кКал,"8,5 г","0,9 г","55,9 г"
Хлеб с Отрубями [Пятерочка],268 кКал,10 г,"2,7 г",51 г
Хлеб с Семенами Подсолнечника [Пятерочка],269 кКал,"7,5 г",13 г,"30,5 г"
Хлеб Фермерский [Пятерочка],200 кКал,"6,7 г","5,2 г","32,6 г"
Хлебушек Черный Русский [Пятерочка],384 кКал,"8,5 г","12,7 г","58,9 г"
Холодец [Пятерочка],31 кКал,"6,3 г","0,5 г","0,2 г"
Хумус [Пятерочка],345 кКал,16 г,25 г,14 г
Хурма [Пятерочка],66 кКал,"0,5 г","0,3 г","15,3 г"
Цыпленок-Гриль [Пятерочка],237 кКал,27 г,"13,5 г",0 г
Чебурек [Пятерочка],226 кКал,11 г,10 г,23 г
Черешня [Пятерочка],50 кКал,"1,1 г","0,4 г","11,5 г"
Чернослив [Пятерочка],277 кКал,"2,3 г","0,9 г",67 г
Чернослив Фруктовый Батончик [Пятерочка],200 кКал,"2,5 г",1 г,48 г
Чеснок [Пятерочка],143 кКал,"6,5 г","0,5 г","29,9 г"
Чиабатта [Пятерочка],269 кКал,"9,4 г","2,6 г","50,8 г"
Чипсы Московский Картофель [Пятерочка],570 кКал,"5,5 г",40 г,46 г
Шампиньоны [Пятерочка],27 кКал,"4,3 г",0 г,"0,1 г"
Штрудель Киви [Пятерочка],410 кКал,5 г,30 г,34 г
Яблоко Голден [Пятерочка],53 кКал,"0,5 г","0,2 г","10,7 г"
Яблоко Красное [Пятерочка],47 кКал,"0,4 г","0,4 г","9,8 г"
Яблоко Роял Гала [Пятерочка],46 кКал,"0,4 г",0 г,"11,2 г"
Яблоко Сезонное [Пятерочка],47 кКал,"0,4 г","0,4 г","9,8 г"
Яйца [Пятерочка],157 кКал,"12,7 г","11,5 г","0,7 г"
Ячневая Анна [Пятерочка],63 кКал,"2,4 г","1,7 г","9,5 г"
